genome	superfamily
Pjab_Bracewell_helixer_helixer	Coccinelloidea
Amphimallon_solstitiale_GCA_963170755.1	Scarabaeoidea
Aphodius_fimetarius_GCA_964211865.1	Scarabaeoidea
Aphodius_granarius_GCA_963971325.1	Scarabaeoidea
Aphodius_sticticus_GCA_963966075.1	Scarabaeoidea
Cetonia_aurata_GCA_949128085.1	Scarabaeoidea
Chrysina_gloriosa_GCA_038088585.1	Scarabaeoidea
Geotrupes_spiniger_GCA_959613385.1	Scarabaeoidea
Holotrichia_oblita_GCA_023690525.1	Scarabaeoidea
Kibakoganea_sinica_GCA_043790905.1	Scarabaeoidea
Melinopterus_prodromus_GCA_964023965.1	Scarabaeoidea
Melolontha_melolontha_GCA_935421215.2	Scarabaeoidea
Onthophagus_taurus_GCA_036711975.1	Scarabaeoidea
Prosopocoilus_inquinatus_GCA_036172665.1	Scarabaeoidea
Serrognathus_titanus_GCA_039766575.1	Scarabaeoidea
Trypoxylus_dichotomus_GCA_023509865.1	Scarabaeoidea
Aleochara_curtula_GCA_963978815.1	Staphylinoidea
Leptodirus_hochenwartii_GCA_947310635.1	Staphylinoidea
Lordithon_lunulatus_GCA_963942505.1	Staphylinoidea
Nicrophorus_investigator_GCA_963457615.1	Staphylinoidea
Ocypus_olens_GCA_910593695.2	Staphylinoidea
Ontholestes_murinus_GCA_963969525.1	Staphylinoidea
Othius_punctulatus_GCA_951805005.1	Staphylinoidea
Philonthus_spinipes_GCA_963082785.1	Staphylinoidea
Phosphuga_atrata_GCA_944588485.1	Staphylinoidea
Staphylinus_erythropterus_GCA_964211955.1	Staphylinoidea
Tachinus_rufipes_GCA_963932245.1	Staphylinoidea
Anaspis_frontalis_GCA_964243895.1	Tenebrionidae
Anaspis_maculata_GCA_949128115.1	Tenebrionidae
Anaspis_regimbarti_GCA_964204715.1	Tenebrionidae
Blaps_rhynchoptera_GCA_042257705.1	Tenebrionidae
Cynaeus_angustus_GCA_030157275.1	Tenebrionidae
Dendarus_foraminosus_GCA_964262855.1	Tenebrionidae
Eledona_agricola_GCA_964023215.1	Tenebrionidae
Gnatocerus_cornutus_GCA_029298725.1	Tenebrionidae
Lagria_hirta_GCA_947359425.1	Tenebrionidae
Latheticus_oryzae_GCA_030157265.1	Tenebrionidae
Mylabris_sibirica_GCA_039776855.1	Tenebrionidae
Pycnomerus_fuliginosus_GCA_963924575.1	Tenebrionidae
Pyrochroa_serraticornis_GCA_905333025.2	Tenebrionidae
Salpingus_planirostris_GCA_949788335.1	Tenebrionidae
Schizotus_pectinicornis_GCA_951805265.1	Tenebrionidae
Tenebrio_molitor_GCF_963966145.1	Tenebrionidae
Tribolium_castaneum_GCF_000002335.3	Tenebrionidae
Tribolium_freemani_GCA_939628115.1	Tenebrionidae
Ulomoides_dermestoides_GCA_040954815.1	Tenebrionidae
Zophobas_atratus_GCA_022388445.1	Tenebrionidae
